,影片,年份,时长,评分,票房
494,Elysium,2013,109min,6.6,
495,The Green Inferno,2013,100min,5.4,7.19
496,Godzilla,2014,123min,6.4,200.66
497,The Bourne Legacy,2012,135min,6.7,113.17
498,A Good Year,2006,117min,6.9,7.46
499,Friend Request,2016,92min,5.4,64.03
500,Deja Vu,2006,126min,7.0,
501,Lucy,2014,89min,6.4,126.55
502,A Quiet Passion,2016,125min,7.2,1.08
503,Need for Speed,2014,132min,6.5,43.57
504,Jack Reacher,2012,130min,7.0,58.68
505,The Do-Over,2016,108min,5.7,0.54
506,True Crimes,2016,92min,7.3,
507,American Pastoral,2016,108min,6.1,
508,The Ghost Writer,2010,128min,7.2,15.52
509,Limitless,2011,105min,7.4,79.24
510,Spectral,2016,107min,6.3,
511,P.S. I Love You,2007,126min,7.1,53.68
512,Zipper,2015,103min,5.7,
513,Midnight Special,2016,112min,6.7,3.71
514,Don't Think Twice,2016,92min,6.8,4.42
515,Alice in Wonderland,2010,108min,6.5,334.19
516,Chuck,2016,98min,6.8,0.11
517,"I, Daniel Blake",2016,100min,7.9,
518,The Break-Up,2006,106min,5.8,118.68
519,Loving,2016,123min,7.1,7.7
520,Fantastic Four,2015,100min,4.3,56.11
521,The Survivalist,2015,104min,6.3,
522,Colonia,2015,106min,7.1,
523,The Boy Next Door,2015,91min,4.6,35.39
524,The Gift,2015,108min,7.1,43.77
525,Dracula Untold,2014,92min,6.3,55.94
526,In the Heart of the Sea,2015,122min,6.9,24.99
527,Idiocracy,2006,84min,6.6,0.44
528,The Expendables,2010,103min,6.5,102.98
529,Evil Dead,2013,91min,#,54.24
530,Sinister,2012,110min,6.8,48.06
531,Wreck-It Ralph,2012,101min,7.8,189.41
532,Snow White and the Huntsman,2012,127min,6.1,155.11
533,Pan,2015,111min,5.8,34.96
534,Transformers: Dark of the Moon,2011,154min,6.3,352.36
535,Juno,2007,96min,7.5,143.49
536,A Hologram for the King,2016,98min,6.1,4.2
537,Money Monster,2016,98min,6.5,41.01
538,The Other Woman,2014,109min,6.0,83.91
539,Enchanted,2007,107min,7.1,127.71
540,The Intern,2015,121min,7.1,75.27
541,Little Miss Sunshine,2006,101min,7.8,59.89
542,Bleed for This,2016,117min,6.8,4.85
543,Clash of the Titans,2010,106min,5.8,163.19
544,The Finest Hours,2016,117min,6.8,27.55
545,Tron,2010,125min,6.8,172.05
546,The Hunger Games: Catching Fire,2013,146min,7.6,424.65
547,All Good Things,2010,101min,6.3,0.58
548,Kickboxer: Vengeance,2016,90min,4.9,131.56
549,The Last Airbender,2010,103min,4.2,
550,Sex Tape,2014,94min,5.1,38.54
551,What to Expect When You're Expecting,2012,110min,5.7,41.1
552,Moneyball,2011,133min,7.6,75.61
553,Ghost Rider,2007,114min,5.2,115.8
554,Unbroken,2014,137min,7.2,115.6
555,Immortals,2011,110min,6.0,83.5
556,Sunshine,2007,107min,7.3,3.68
557,Brave,2012,93min,#,237.28
558,Män som hatar kvinnor,2009,152min,7.8,10.1
559,Adoration,2013,112min,6.2,0.32
560,The Drop,2014,106min,7.1,10.72
561,She's the Man,2006,105min,6.4,2.34
562,Daddy's Home,2015,96min,6.1,150.32
563,Let Me In,2010,116min,7.2,12.13
564,Never Back Down,2008,110min,6.6,24.85
565,Grimsby,2016,83min,6.2,6.86
566,Moon,2009,97min,#,5.01
567,Megamind,2010,95min,7.3,148.34
568,Gangster Squad,2013,113min,6.7,46.0
569,Blood Father,2016,88min,6.4,93.95
570,He's Just Not That Into You,2009,129min,6.4,
571,Kung Fu Panda 3,2016,95min,7.2,143.52
572,The Rise of the Krays,2015,110min,5.1,6.53
573,Handsome Devil,2016,95min,7.4,
574,Winter's Bone,2010,100min,7.2,
575,Horrible Bosses,2011,98min,6.9,117.53
576,Mommy,2014,139min,8.1,3.49
577,Hellboy II: The Golden Army,2008,120min,7.0,75.75
578,Beautiful Creatures,2013,124min,6.2,19.45
579,Toni Erdmann,2016,162min,7.6,1.48
580,The Lovely Bones,2009,135min,6.7,43.98
581,The Assassination of Jesse James by the Coward Robert Ford,2007,160min,7.5,3.9
582,Don Jon,2013,90min,6.6,24.48
583,Bastille Day,2016,92min,6.3,0.04
584,2307: Winter's Dream,2016,101min,4.0,20.76
585,Free State of Jones,2016,139min,6.9,
586,Mr. Right,2015,95min,6.3,0.03
587,The Secret Life of Walter Mitty,2013,114min,7.3,58.23
588,Dope,2015,103min,7.3,17.47
589,Underworld Awakening,2012,88min,6.4,62.32
590,Antichrist,2009,108min,6.6,0.4
591,Friday the 13th,2009,97min,5.6,65.0
592,Taken 3,2014,109min,6.0,89.25
593,Total Recall,2012,118min,6.3,58.88
594,X-Men: The Last Stand,2006,104min,6.7,234.36
595,The Escort,2016,88min,6.0,
596,The Whole Truth,2016,93min,6.1,
597,Night at the Museum: Secret of the Tomb,2014,98min,6.2,113.73
598,Love & Other Drugs,2010,112min,6.7,32.36
599,The Interview,2014,112min,6.6,6.11
600,The Host,2006,120min,7.0,2.2
601,Megan Is Missing,2011,85min,4.9,
602,WALL·E,2008,98min,8.4,223.81
603,Knocked Up,2007,129min,7.0,148.73
604,Source Code,2011,93min,7.5,54.7
605,Lawless,2012,116min,7.3,37.4
606,Unfriended,2014,83min,5.6,31.54
607,American Reunion,2012,113min,6.7,56.72
608,The Pursuit of Happyness,2006,117min,8.0,162.59
609,Relatos salvajes,2014,122min,8.1,3.08
610,The Ridiculous 6,2015,119min,4.8,
611,Frantz,2016,113min,7.5,0.86
612,Viral,2016,85min,5.5,
613,Gran Torino,2008,116min,8.2,148.09
614,Burnt,2015,101min,6.6,13.65
615,Tall Men,2016,133min,3.2,
616,Sleeping Beauty,2011,101min,5.3,0.03
617,Vampire Academy,2014,104min,5.6,7.79
618,Sweeney Todd: The Demon Barber of Fleet Street,2007,116min,7.4,52.88
619,Solace,,101min,,
620,Insidious,2010,103min,6.8,53.99
621,Popstar: Never Stop Never Stopping,,87min,,9.39
622,The Levelling,2016,83min,6.4,
623,Public Enemies,2009,140min,7.0,97.03
624,Boyhood,2014,165min,7.9,25.36
625,Teenage Mutant Ninja Turtles,2014,101min,5.9,190.87
626,Eastern Promises,2007,100min,7.7,17.11
627,The Daughter,2015,96min,6.7,0.03
628,Pineapple Express,2008,111min,7.0,87.34
629,The First Time,2012,95min,6.9,0.02
630,Gone Baby Gone,2007,114min,7.7,20.3
631,The Heat,2013,117min,6.6,159.58
632,L'avenir,2016,102min,7.1,0.28
633,Anna Karenina,2012,129min,6.6,12.8
634,Regression,2015,106min,5.7,0.05
635,Ted 2,2015,115min,6.3,81.26
636,Pain & Gain,2013,129min,6.5,49.87
637,Blood Diamond,2006,143min,8.0,57.37
638,Devil's Knot,2013,114min,6.1,
639,Child 44,2015,137min,6.5,1.21
640,The Hurt Locker,2008,131min,7.6,15.7
641,Green Lantern,2011,114min,5.6,116.59
642,War on Everyone,2016,98min,5.9,
643,The Mist,2007,126min,7.2,25.59
644,Escape Plan,2013,115min,6.7,25.12
645,"Love, Rosie",2014,102min,7.2,0.01
646,The DUFF,2015,101min,6.5,34.02
647,The Age of Shadows,2016,140min,7.2,0.54
648,The Hunger Games: Mockingjay - Part 1,2014,123min,6.7,337.1
649,We Need to Talk About Kevin,2011,112min,7.5,1.74
650,Love & Friendship,2016,90min,6.5,14.01
651,The Mortal Instruments: City of Bones,2013,130min,5.9,31.17
652,Seven Pounds,2008,123min,7.7,69.95
653,The King's Speech,2010,118min,8.0,138.8
654,Hunger,2008,96min,7.6,0.15
655,Jumper,2008,88min,6.1,80.17
656,Toy Story 3,2010,103min,8.3,414.98
657,Tinker Tailor Soldier Spy,2011,122min,7.1,24.1
658,Resident Evil: Retribution,2012,96min,5.4,42.35
659,Dear Zindagi,2016,151min,7.8,1.4
660,Genius,2016,104min,6.5,1.36
661,Pompeii,2014,105min,5.5,23.22
662,Life of Pi,2012,127min,7.9,124.98
663,Hachi: A Dog's Tale,2009,93min,8.1,
664,10 Years,2011,100min,6.1,0.2
665,I Origins,2014,106min,7.3,0.33
666,Live Free or Die Hard,2007,128min,7.2,134.52
667,The Matchbreaker,2016,94min,5.5,
668,Funny Games,2007,111min,6.5,1.29
669,Ted,2012,106min,7.0,218.63
670,RED,2010,111min,7.1,90.36
671,Australia,2008,165min,6.6,49.55
672,Faster,2010,98min,6.5,23.23
673,The Neighbor,2016,87min,5.8,
674,The Adjustment Bureau,2011,106min,7.1,62.45
675,The Hollars,2016,88min,6.5,1.02
676,The Judge,2014,141min,7.4,47.11
677,Closed Circuit,2013,96min,6.2,5.73
678,Transformers: Revenge of the Fallen,2009,150min,6.0,402.08
679,La tortue rouge,2016,80min,7.6,0.92
680,The Book of Life,2014,95min,7.3,50.15
681,Incendies,2010,131min,8.2,6.86
682,The Heartbreak Kid,2007,116min,5.8,36.77
683,Happy Feet,2006,108min,6.5,197.99
684,Entourage,2015,104min,6.6,32.36
685,The Strangers,2008,86min,6.2,52.53
686,Noah,2014,138min,5.8,101.16
687,Neighbors,,97min,,150.06
688,Nymphomaniac: Vol. II,2013,123min,6.7,0.33
689,Wild,2014,115min,7.1,37.88
690,Grown Ups,2010,102min,6.0,162.0
691,Blair Witch,2016,89min,5.1,20.75
692,The Karate Kid,2010,140min,6.2,176.59
693,Dark Shadows,2012,113min,6.2,79.71
694,Friends with Benefits,2011,109min,6.6,55.8
695,The Illusionist,2006,110min,7.6,39.83
696,The A-Team,2010,117min,6.8,77.21
697,The Guest,2014,100min,6.7,0.32
698,The Internship,2013,119min,6.3,44.67
699,Paul,2011,104min,7.0,37.37
700,This Beautiful Fantastic,2016,100min,6.9,
701,The Da Vinci Code,2006,149min,6.6,217.54
702,Mr. Church,2016,104min,7.7,0.69
703,Hugo,2011,126min,7.5,73.82
704,The Blackcoat's Daughter,2015,93min,5.6,0.02
705,Body of Lies,2008,128min,7.1,39.38
706,Knight of Cups,2015,118min,5.7,0.56
707,The Mummy: Tomb of the Dragon Emperor,2008,112min,5.2,102.18
708,The Boss,2016,99min,5.4,63.03
709,Hands of Stone,2016,111min,6.6,4.71
710,El secreto de sus ojos,2009,129min,8.2,20.17
711,True Grit,2010,110min,7.6,171.03
712,We Are Your Friends,2015,96min,6.2,3.59
713,A Million Ways to Die in the West,2014,116min,6.1,42.62
714,Only for One Night,2016,86min,4.6,
715,Rules Don't Apply,2016,127min,5.7,3.65
716,Ouija: Origin of Evil,2016,99min,6.1,34.9
717,Percy Jackson: Sea of Monsters,2013,106min,5.9,68.56
718,Fracture,2007,113min,7.2,39.0
719,Oculus,2013,104min,6.5,27.69
720,In Bruges,2008,107min,7.9,7.76
721,This Means War,2012,103min,6.3,54.76
722,Lída Baarová,2016,106min,5.0,
723,The Road,2009,111min,7.3,0.06
724,Lavender,2016,92min,5.2,
725,Deuces,2016,87min,6.6,
726,Conan the Barbarian,2011,113min,5.2,21.27
727,The Fighter,2010,116min,7.8,93.57
728,August Rush,2007,114min,7.5,31.66
729,Chef,2014,114min,7.3,31.24
730,Eye in the Sky,2015,102min,7.3,18.7
731,Eagle Eye,2008,118min,6.6,101.11
732,The Purge,2013,85min,5.7,64.42
733,PK,2014,153min,8.2,10.57
734,Ender's Game,2013,114min,6.7,61.66
735,Indiana Jones and the Kingdom of the Crystal Skull,2008,122min,6.2,317.01
736,Paper Towns,2015,109min,6.3,31.99
737,High-Rise,2015,119min,5.7,0.34
738,Quantum of Solace,2008,106min,6.6,168.37
739,The Assignment,2016,95min,4.5,
740,How to Train Your Dragon,2010,98min,8.1,217.39
741,Lady in the Water,2006,110min,5.6,42.27
742,The Fountain,2006,96min,7.3,10.14
743,Cars 2,2011,106min,6.2,191.45
744,31,2016,102min,5.1,0.78
745,Final Girl,2015,90min,4.7,
746,Chalk It Up,2016,90min,4.8,
747,The Man Who Knew Infinity,2015,108min,7.2,3.86
748,Unknown,2011,113min,6.9,61.09
749,Self/less,2015,117min,6.5,12.28
750,Mr. Brooks,2007,120min,7.3,28.48
751,Tramps,2016,82min,6.5,
752,Before We Go,2014,95min,6.9,0.04
753,Captain Phillips,2013,134min,7.8,107.1
754,The Secret Scripture,2016,108min,6.8,
755,Max Steel,2016,92min,4.6,3.77
756,Hotel Transylvania 2,2015,89min,6.7,169.69
757,Hancock,2008,92min,6.4,227.95
758,Sisters,2015,118min,6.0,87.03
759,The Family,2013,111min,6.3,36.92
760,Zack and Miri Make a Porno,2008,101min,6.6,31.45
761,Ma vie de Courgette,,66min,,0.29
762,Man on a Ledge,2012,102min,6.6,18.6
763,No Strings Attached,,108min,,70.63
764,Rescue Dawn,2006,120min,7.3,5.48
765,Despicable Me 2,2013,98min,7.4,368.05
766,A Walk Among the Tombstones,2014,114min,6.5,25.98
767,The World's End,2013,109min,7.0,26.0
768,Yoga Hosers,2016,88min,4.3,
769,Seven Psychopaths,2012,110min,7.2,14.99
770,Beowulf,2007,115min,6.2,82.16
771,Jack Ryan: Shadow Recruit,2014,105min,6.2,50.55
772,1408,2007,104min,6.8,71.98
773,The Gambler,2014,111min,6.0,33.63
774,Prince of Persia: The Sands of Time,2010,116min,6.6,90.76
775,The Spectacular Now,2013,95min,7.1,6.85
776,A United Kingdom,2016,111min,6.8,3.9
777,USS Indianapolis: Men of Courage,2016,128min,5.2,
778,Turbo Kid,2015,93min,6.7,0.05
779,Mama,2013,100min,6.2,71.59
780,Orphan,2009,123min,7.0,41.57
781,To Rome with Love,2012,112min,6.3,16.68
782,Fantastic Mr. Fox,2009,87min,7.8,21.0
783,Inside Man,,129min,,88.5
784,I.T.,2016,95min,5.4,
785,127 Hours,2010,94min,7.6,18.33
786,Annabelle,2014,99min,5.4,84.26
787,Wolves at the Door,2016,73min,4.6,
788,Suite Française,2014,107min,6.9,
789,The Imaginarium of Doctor Parnassus,2009,123min,6.8,7.69
790,G.I. Joe: The Rise of Cobra,2009,118min,5.8,150.17
791,Christine,2016,119min,7.0,0.3
792,Man Down,2015,90min,5.8,
793,Crawlspace,2016,88min,5.3,
794,Shut In,2016,91min,4.6,6.88
795,The Warriors Gate,2016,108min,5.3,
796,Grindhouse,2007,191min,7.6,25.03
797,Disaster Movie,2008,87min,1.9,14.17
798,Rocky Balboa,2006,102min,7.2,70.27
799,Diary of a Wimpy Kid: Dog Days,2012,94min,6.4,49.0
800,Jane Eyre,2011,120min,7.4,11.23
801,Fool's Gold,2008,112min,5.7,70.22
802,The Dictator,2012,83min,6.4,59.62
803,The Loft,2014,108min,6.3,5.98
804,Bacalaureat,2016,128min,7.5,0.13
805,You Don't Mess with the Zohan,2008,113min,5.5,100.02
806,Exposed,2016,102min,4.2,
807,Maudie,2016,115min,7.8,
808,Horrible Bosses 2,2014,108min,6.3,54.41
809,A Bigger Splash,2015,125min,6.4,1.98
810,Melancholia,2011,135min,7.1,3.03
811,The Princess and the Frog,2009,97min,7.1,104.37
812,Unstoppable,2010,98min,6.8,81.56
813,Flight,2012,138min,7.3,93.75
814,Home,2015,94min,6.7,177.34
815,La migliore offerta,2013,131min,7.8,0.09
816,Mean Dreams,2016,108min,6.3,
817,42,2013,128min,7.5,95.0
818,21,2008,123min,6.8,81.16
819,Begin Again,2013,104min,7.4,16.17
820,Out of the Furnace,2013,116min,6.8,11.33
821,Vicky Cristina Barcelona,2008,96min,7.1,23.21
822,Kung Fu Panda,2008,92min,7.6,215.4
823,Barbershop: The Next Cut,2016,111min,5.9,54.01
824,Terminator Salvation,2009,115min,6.6,125.32
825,Freedom Writers,2007,123min,7.5,36.58
826,The Hills Have Eyes,2006,107min,6.4,41.78
827,Changeling,2008,141min,7.8,35.71
828,Remember Me,2010,113min,7.2,19.06
829,Koe no katachi,2016,129min,8.4,
830,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,81min,6.2,66.95
831,Locke,2013,85min,7.1,1.36
832,The 9th Life of Louis Drax,2016,108min,6.3,
833,Horns,2013,120min,6.5,0.16
834,Indignation,2016,110min,6.9,3.4
835,The Stanford Prison Experiment,2015,122min,6.9,0.64
836,Diary of a Wimpy Kid: Rodrick Rules,2011,99min,6.6,52.69
837,Mission: Impossible III,2006,126min,6.9,133.38
838,En man som heter Ove,2015,116min,7.7,3.36
839,Dragonball Evolution,2009,85min,2.7,9.35
840,Red Dawn,2012,93min,5.4,44.8
841,One Day,2011,107min,7.0,13.77
842,Life as We Know It,2010,114min,6.6,53.36
843,28 Weeks Later,2007,100min,7.0,28.64
844,Warm Bodies,2013,98min,6.9,66.36
845,Blue Jasmine,2013,98min,7.3,33.4
846,G.I. Joe: Retaliation,2013,110min,5.8,122.51
847,Wrath of the Titans,2012,99min,5.8,83.64
848,Shin Gojira,2016,120min,6.9,1.91
849,Saving Mr. Banks,2013,125min,7.5,83.3
850,Transcendence,,119min,,23.01
851,Rio,2011,96min,6.9,143.62
852,Equals,2015,101min,6.1,0.03
853,Babel,2006,143min,7.5,34.3
854,The Tree of Life,2011,139min,6.8,13.3
855,The Lucky One,2012,101min,6.5,60.44
856,Piranha 3D,2010,88min,5.5,25.0
857,50/50,2011,100min,7.7,34.96
858,The Intent,2016,104min,3.5,
859,This Is 40,2012,134min,6.2,67.52
860,Real Steel,2011,127min,7.1,85.46
861,Sex and the City,2008,145min,5.5,152.64
862,Rambo,2008,92min,7.1,42.72
863,Planet Terror,2007,105min,7.1,
864,Concussion,2015,123min,7.1,34.53
865,The Fall,2006,117min,7.9,2.28
866,The Ugly Truth,2009,96min,6.5,88.92
867,Bride Wars,2009,89min,5.5,58.72
868,Sleeping with Other People,2015,101min,6.5,0.81
869,Snakes on a Plane,2006,105min,5.6,34.01
870,What If,2013,98min,6.8,3.45
871,How to Train Your Dragon 2,2014,102min,7.9,177.0
872,RoboCop,2014,117min,6.2,58.61
873,In Dubious Battle,2016,110min,6.2,
874,"Hello, My Name Is Doris",2015,95min,6.7,14.44
875,Ocean's Thirteen,2007,122min,6.9,117.14
876,Slither,2006,95min,6.5,7.77
877,Contagion,2011,106min,6.6,75.64
878,Il racconto dei racconti - Tale of Tales,2015,133min,6.4,0.08
879,I Am the Pretty Thing That Lives in the House,2016,87min,4.7,
880,Bridge to Terabithia,2007,96min,7.2,82.23
881,Coherence,2013,89min,7.2,0.07
882,Notorious,2009,122min,6.7,36.84
883,Goksung,2016,156min,7.5,0.79
884,The Expendables 2,2012,103min,6.6,85.02
885,The Girl Next Door,2007,91min,6.7,
886,Perfume: The Story of a Murderer,2006,147min,7.5,2.21
887,The Golden Compass,2007,113min,6.1,70.08
888,Centurion,2010,97min,6.4,0.12
889,Scouts Guide to the Zombie Apocalypse,2015,93min,6.3,3.64
890,17 Again,2009,102min,6.4,64.15
891,No Escape,2015,103min,6.8,27.29
892,Superman Returns,2006,154min,6.1,200.07
893,The Twilight Saga: Breaking Dawn - Part 1,2011,117min,4.9,281.28
894,Precious,2009,110min,7.3,47.54
895,The Sea of Trees,2015,110min,5.9,0.02
896,Good Kids,2016,86min,6.1,
897,The Master,2012,144min,7.1,16.38
898,Footloose,2011,113min,5.9,51.78
899,If I Stay,2014,107min,6.8,50.46
900,The Ticket,2016,97min,5.4,
901,Detour,2016,97min,6.3,
902,The Love Witch,2016,120min,6.2,0.22
903,Talladega Nights: The Ballad of Ricky Bobby,2006,108min,6.6,148.21
904,The Human Centipede (First Sequence),2009,92min,4.4,0.18
905,Super,2010,96min,6.8,0.32
906,The Siege of Jadotville,2016,108min,7.3,
907,Up in the Air,2009,109min,7.4,83.81
908,The Midnight Meat Train,2008,98min,6.1,0.07
909,The Twilight Saga: Eclipse,2010,124min,4.9,300.52
910,Transpecos,2016,86min,5.8,
911,What's Your Number?,2011,106min,6.1,13.99
912,Riddick,2013,119min,6.4,42.0
913,Triangle,2009,99min,6.9,
914,The Butler,2013,132min,7.2,116.63
915,King Cobra,2016,91min,5.6,0.03
916,After Earth,2013,100min,4.9,60.52
917,Kicks,2016,80min,6.1,0.15
918,Me and Earl and the Dying Girl,2015,105min,7.8,6.74
919,The Descendants,2011,115min,7.3,82.62
920,Sex and the City 2,2010,146min,4.3,95.33
921,The Kings of Summer,2013,95min,7.2,1.29
922,Death Race,2008,105min,6.4,36.06
923,That Awkward Moment,2014,94min,6.2,26.05
924,Legion,2010,100min,5.2,40.17
925,End of Watch,2012,109min,7.7,40.98
926,3 Days to Kill,2014,117min,6.2,30.69
927,Lucky Number Slevin,2006,110min,7.8,22.49
928,Trance,2013,101min,7.0,2.32
929,Into the Forest,2015,101min,5.9,0.01
930,The Other Boleyn Girl,2008,115min,6.7,26.81
931,I Spit on Your Grave,2010,108min,6.3,0.09
932,Custody,2016,104min,6.9,
933,Inland Empire,2006,180min,7.0,
934,L'odyssée,2016,122min,6.7,
935,The Walk,2015,123min,7.3,10.14
936,Wrecker,2015,83min,3.5,
937,The Lone Ranger,2013,150min,6.5,89.29
938,Texas Chainsaw 3D,2013,92min,4.8,34.33
939,Disturbia,2007,105min,6.9,80.05
940,Rock of Ages,2012,123min,5.9,38.51
941,Scream 4,2011,111min,6.2,38.18
942,Queen of Katwe,2016,124min,7.4,8.81
943,My Big Fat Greek Wedding 2,2016,94min,6.0,59.57
944,Dark Places,2015,113min,6.2,
945,Amateur Night,2016,92min,5.0,
946,It's Only the End of the World,2016,97min,7.0,
947,The Skin I Live In,2011,120min,7.6,3.19
948,Miracles from Heaven,2016,109min,7.0,61.69
949,Annie,2014,118min,5.3,85.91
950,Across the Universe,2007,133min,7.4,24.34
951,Let's Be Cops,2014,104min,6.5,82.39
952,Max,2015,111min,6.8,42.65
953,Your Highness,2011,102min,5.6,21.56
954,Final Destination 5,2011,92min,5.9,42.58
955,Endless Love,2014,104min,6.3,23.39
956,Martyrs,2008,99min,7.1,
957,Selma,2014,128min,7.5,52.07
958,Underworld: Rise of the Lycans,2009,92min,6.6,45.8
959,Taare Zameen Par,2007,165min,8.5,1.2
960,Take Me Home Tonight,2011,97min,6.3,6.92
961,Resident Evil: Afterlife,2010,97min,5.9,60.13
962,Project X,2012,88min,6.7,54.72
963,Secret in Their Eyes,2015,111min,6.2,
964,Hostel: Part II,2007,94min,5.5,17.54
965,Step Up 2: The Streets,2008,98min,6.2,58.01
966,Search Party,2014,93min,5.6,
967,Nine Lives,2016,87min,5.3,19.64
968,Wrecker,2015,83min,3.5,
969,The Lone Ranger,2013,150min,6.5,89.29
970,Texas Chainsaw 3D,2013,92min,4.8,34.33
971,Disturbia,2007,105min,6.9,80.05
972,Rock of Ages,2012,123min,5.9,38.51
973,Scream 4,2011,111min,6.2,38.18
974,Queen of Katwe,2016,124min,7.4,8.81
975,My Big Fat Greek Wedding 2,2016,94min,6.0,59.57
976,Dark Places,2015,113min,6.2,
977,Amateur Night,2016,92min,5.0,
978,It's Only the End of the World,2016,97min,7.0,
979,The Skin I Live In,2011,120min,7.6,3.19
980,Miracles from Heaven,2016,109min,7.0,61.69
981,Annie,2014,118min,5.3,85.91
982,Across the Universe,2007,133min,7.4,24.34
983,Let's Be Cops,2014,104min,6.5,82.39
984,Max,2015,111min,6.8,42.65
985,Your Highness,2011,102min,5.6,21.56
986,Final Destination 5,2011,92min,5.9,42.58
987,Endless Love,2014,104min,6.3,23.39
988,Martyrs,2008,99min,7.1,
989,Selma,2014,128min,7.5,52.07
990,Underworld: Rise of the Lycans,2009,92min,6.6,45.8
991,Taare Zameen Par,2007,165min,8.5,1.2
992,Take Me Home Tonight,2011,97min,6.3,6.92
993,Resident Evil: Afterlife,2010,97min,5.9,60.13
994,Project X,2012,88min,6.7,54.72
995,Secret in Their Eyes,2015,111min,6.2,
996,Hostel: Part II,2007,94min,5.5,17.54
997,Step Up 2: The Streets,2008,1h38min,6.2,58.01
998,Search Party,2014,1h23min,5.6,
999,Nine Lives,2016,1h27min,5.3,19.64
